Ticker,Name,Market Cap,Price
"WKHS","Workhorse Group Inc",1016897631.75,8.25
"PRTA","Prothena Corporation plc",1016043216,23
"PRTY","Party City Holdco Inc",1012799933.6,9.1
"NOG","Northern Oil and Gas Inc",1012353693.4,16.76
"KNTE","Kinnate Biopharma Inc",1010850456.75,23.25
"SPNT","SiriusPoint Ltd",1009353660.48,10.56
"TELL","Tellurian Inc",1007692100.1,2.46
"NE","Noble Corp",1006846965.36,4.08
"DHT","DHT Holdings Inc",1006002151.92,5.89
"RPT","RPT Realty",1001576507.22,12.34
"OSPN","OneSpan Inc",1001190866.09,24.865
"WETF","Wisdomtree Investments Inc",999272836.56,6.68
"APSG","Apollo Strategic Growth Capital - Class A",997529212.5,9.77
"AIV","Apartment Investment & Management Co. - Class A",996712639.72,6.68
"MRC","MRC Global Inc",995020563.06,12.06
"MERC","Mercer International Inc",993124772.85,15.05
"CERS","Cerus Corp",990227318.405,5.785
"RDUS","Radius Health Inc",986899146.51,20.89
"TRTX","TPG RE Finance Trust Inc",986589818.66,12.83
"PCVX","Vaxcyte Inc",983388892.2,19.14
"VUZI","Vuzix Corporation",983305263.8,15.59
"MRSN","Mersana Therapeutics Inc",982212799.56,14.12
"PBFX","Pbf Logistics Lp",979763764.52,15.71
"HTZGQ","Hertz Global Holdings Inc",979414617.06,6.27
"CNST","Constellation Pharmaceuticals Inc",978897116.7,20.43
"ADTN","Adtran Inc",978077278.89,20.21
"CXW","CoreCivic Inc",977851327.08,8.13
"GPRK","Geopark Ltd",972204267.96,15.93
"HGEN","Humanigen Inc",970906515.48,18.81
"VEI","Vine Energy Inc - Class A",969979598,14
"GLDD","Great Lakes Dredge & Dock Corporation",964281552.91,14.69
"LBAI","Lakeland Bancorp Inc",961931644.49,19.01
"HERAU","FTAC Hera Acquisition Corp - Units (1 Ord Share Class A & 1/4 War)",961920000,10.02
"HNGR","Hanger Inc",961606408.05,24.95
"OLMA","Olema Pharmaceuticals Inc",961261830.34,23.93
"FTOC","FTAC Olympus Acquisition Corp - Class A",959878598.3,9.89
"RMO","Romeo Power Inc - Class A",959506345.35,7.35
"AZRE","Azure Power Global Ltd",958256582.5,19.88
"UMH","UMH Properties Inc",957760795.2,21.2
"QNST","QuinStreet Inc",957107557.35,17.85
"KNSA","Kiniksa Pharmaceuticals Ltd - Class A",956648476,14
"CAAP","Corporacion America Airports S.A.",956485063.02,5.86
"GSAH","GS Acquisition Holdings Corp II - Class A",955312500,10.19
"AINV","Apollo Investment Corp",954089153.12,14.62
"GHLD","Guild Holdings Co - Class A",951000000,15.85
"AMPH","Amphastar Pharmaceuticals Inc",950801605.96,19.96
"VREX","Varex Imaging Corp",942414000,23.98
"CPUH-U","Compute Health Acquisition Corp - Units (1 Ord Share Class A & 1/4 War)",941250000,10.04
"JWSM-U","Jaws Mustang Acquisition Corporation - Units (1 Ord Share Class A & 1/4 War)",938437500,10.01
"HERA","FTAC Hera Acquisition Corp - Class A",935040000,9.74
"GGPIU","Gores Guggenheim Inc - Units (1 Ord Share Class A & 1/5 War)",934687500,9.97
"CONX","CONX Corp - Class A",931136100,9.93
"FVTI","Fortune Valley Treasures Inc",929405000,5.13
"SPH","Suburban Propane Partners LP",927308555.05,14.83
"BVS","Bioventus Inc - Class A",924548054.02,16.27
"SY","So-Young International Inc",923406969.888,8.91
"CARS","Cars.com",921883440.56,13.43
"ACCO","Acco Brands Corporation",921496420.05,9.65
"DYN","Dyne Therapeutics Inc",920682657.36,17.98
"EPZM","Epizyme Inc",918800192.04,9.01
"JWSM","Jaws Mustang Acquisition Corporation - Class A",915937500,9.77
"CPUH","Compute Health Acquisition Corp - Class A",915000000,9.76
"TGI","Triumph Group Inc",913738980.36,16.62
"STRO","Sutro Biopharma Inc",912575320.08,19.79
"YQ","17 Education & Technology Group Inc",910427100.72,4.74
"LCA","Landcadia Holdings IV Inc - Class A",906955882.08,11.64
"AAC-U","Ares Acquisition Corporation - Units (1 Ord Share Class A & 1/5 War)",906250000,10
"GTHX","G1 Therapeutics Inc",902915293.48,21.46
"HCC","Warrior Met Coal Inc",898628550.88,17.48
"BANC","Banc of California Inc",894741092.06,17.66
"AACQ","Artius Acquisition Inc - Class A",892946250,9.86
"AAC","Ares Acquisition Corporation - Class A",891750000,9.76
"TRIL","Trillium Therapeutics Inc",890716507.135,8.78
"ORBC","Orbcomm Inc",890613180.8,11.2
"BY","Byline Bancorp Inc",890410274.65,23.05
"GDYN","Grid Dynamics Holdings Inc - Class A",890056228.75,16.43
"DESP","Despegar.com Corp",889560472.32,12.69
"DVAX","Dynavax Technologies Corp",889204525.12,7.76
"AJAX","Ajax I - Class A",889067724.02,9.94
"TILE","Interface Inc",886970515.23,15.03
"SNDX","Syndax Pharmaceuticals Inc",886326028.83,18.37
"HMPT","Home Point Capital Inc",883150255.08,6.36
"AMTB","Amerant Bancorp Inc - Class A",882979821.07,23.39
"ANGO","Angiodynamic Inc",882498672.38,23.14
"WNC","Wabash National Corp",882487409.1,17.13
"IVR","Invesco Mortgage Capital Inc",879639824.7,3.57
"VRAY","ViewRay Inc",879058264.185,5.435
"NFBK","Northfield Bancorp Inc",878824347.03,17.13
"SLCA","U.S. Silica Holdings Inc",878715548.94,11.82
"MILE","Metromile Inc",877415601.6,6.96
"ITOS","ITeos Therapeutics Inc",875369035.06,24.94
"CNTB","Connect Biopharma Holdings Ltd",874933968.5,16.22
"PSNL","Personalis Inc",874215825.89,19.91
"MOD","Modine Manufacturing Company",872104840.96,16.96
